id;precio_interconexion;created_at;updated_at;acuerdo_acceso_interconexions_id;sci_servicios_id;servicio
21;6.00;2016-02-10 16:16:03.287;2016-02-10 16:16:03.287;9;18;USO DE RED MOVIL TELEFONICA PARA TRANSITO NACIONAL, COSTO POR MUNITO EN COLONES
22;272.00;2016-02-10 16:16:03.287;2016-02-10 16:16:03.287;9;18;INTERCONEXION IP DIRECTA A LA RED DE BORDE PARA TRANSITO IP, Mbps, PRECIO EN DOLARES, CMR 272,00.
23;1000.00;2016-02-10 16:16:03.287;2016-02-10 16:16:03.287;9;18;PUERTO FAST ETHERNET(HASTA 100Mbps), PRECIO EN DOLARES, CNR INSTALACION 300. PRECIO EN DOLARES, CMR 1000,00.
24;1000.00;2016-02-10 16:16:03.287;2016-02-10 16:16:03.287;9;18;PUERTO GIGA ETHERNET, PRECIO EN DOLARES, CNR INSTALACION 300. PRECIO EN DOLARES, CMR 1000,00.
25;350.00;2016-02-10 16:16:03.300;2016-02-10 16:16:03.300;9;18;CONFIGURACIONES DE TABLAS DE ENRUTAMIENTO Y PUBLICACION DE DIRECCIONES, PRECIO EN DOLARES, CNR 850. PRECIO EN DOLARES, CMR 350.
26;1880.00;2016-02-10 16:16:03.300;2016-02-10 16:16:03.300;9;18;HABILITACION POR BASTIDOR, CUOTA DE INSTALACION, PRECIO EN DOLARES, 5.350. CARGO RECURRENTE MENSUAL PRECIO EN DOLARES, 1880.
27;855.00;2016-02-10 16:16:03.300;2016-02-10 16:16:03.300;9;18;CIRCUITO ELECTRICO 30AMP 120AC, CARGO RECURRENTE MENSUAL PRECIO EN DOLARES, 855.
28;42.00;2016-02-10 16:16:03.300;2016-02-10 16:16:03.300;9;18;PATCHCORD DESDE EL PS COUBICADO EN SALA DE TRANSMISION HASTA EL DDF/ODF DE INTERCONEXION, CUOTA DE INSTALACION PRECIO EN DOLARES 502. CARGO RECURRENTE MENSUAL POR E1 PRECIO EN DOLARES 42.
29;0.00;2016-02-10 16:16:03.300;2016-02-10 16:16:03.300;9;18;CONFIGURACION DE PUERTO DE CONMUTACION POR POI2, CUOTA DE INSTALACION PRECIO EN DOLARES 5.400. CARGO RECURRENTE MENSUAL POR E1 PRECIO  EN DOLARES 0.
57;18.00;2016-02-10 17:27:14.647;2016-02-10 17:27:14.647;17;18;Precio por minuto: Terminación en redes móviles con origen nacional. (Precio en colones)
58;4.00;2016-02-10 17:27:14.647;2016-02-10 17:27:14.647;17;18;Precio por minuto: Terminación en redes fijas con origen nacional ( Precio en colones)
59;4.00;2016-02-10 17:27:14.647;2016-02-10 17:27:14.647;17;18;Precio por minuto: Terminación de tráfico de cobro revertido en redes fijas. (precio en colones)
60;1000.00;2016-02-10 17:27:14.647;2016-02-10 17:27:14.647;17;18;Cargos mensuales por co-ubicación y tránsito hacia redes fijas o móviles: Enlace de comunicación los primeros tres meses ( Feb, Marzo, Abril 2013) PRECIO EN DOLARES.
61;2000.00;2016-02-10 17:27:14.663;2016-02-10 17:27:14.663;17;18;Cargos mensuales por co-ubicación y tránsito hacia redes fijas o móviles: Enlace de comunicaion a partir del cuarto mes y hasta finalizar el contrato ( PRECIO EN DOLARES)
62;0.00;2016-02-10 17:27:14.663;2016-02-10 17:27:14.663;17;18;Cargos por activación de los enlaces: Habilitación del enlace 0.01 (Precio en dolares) Cuota de instalación y 0.00 cargo recurrente mensual.
63;0.00;2016-02-10 17:27:14.663;2016-02-10 17:27:14.663;17;18;Cargos por activación de los enlaces: Mantenimiento del enlace: 0.00 (Precio en Dolares) Cuota de instalación y 0.01 cargo recurrente mensual
